,user,Tweet Text,location
142,RanaUmairIQBAL,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","خوشاب, پاکستان"
143,abuasadhamza786,"RT @Aamber0098: Karachi are you ready to welcome the leader of muslim ummah ?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_مداخلت https://t.co/i0Qn0o…",
144,RanaFai73047510,"No difference between Gerry Wilders and who hate xPM-Imran Khan. 
#امپورٹڈ_حکومت_نامنظور
#ImportedGovtNotAcceptable","Sargodha City, Punjab"
145,Hafizz_216,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET","Rawalpindi, Pakistan"
146,MAHI_KHAN27176,"RT @DrMuradPTI: Must listen. Sohail Waraich in 19 Seconds. This is all Allah’s doing. Allah Al Haq Hey. 
#امپورٹڈ_حکومت_نامنظور 
#ImranKhan…",Pakistan
147,Xylopho99625943,RT @ArtistInWarTime: This didn't age well..  #امپورٹڈ_حکومت_نامنظور #سازش_نہیں_مداخلت https://t.co/hBMjWkArjm,
148,AliShah82746194,"RT @nani420_font: Is it some sort of joke? Can yu pls clear me what's the diff. btw Conspiracy n Intervention? LOL
#امپورٹڈ_حکومت_نامنظور
D…",
149,AhmadChoudharyy,RT @zartajgulwazir: This lousy imported puppet regime is so rattled by the massive sustained outpouring of youth that it is considering ban…,Pakistan
150,AFQA1000,"RT @UniverseAffair: After imran khan Today #Azadkashmir Prime Minister Resgine @PTIAJK_Official @PTIofficial
#سازش_نہیں_مداخلت
#امپورٹڈ_حکو…","Karachi, Pakistan"
151,amna_7866,"RT @AJShafquat: “patriotic youth” like @arslankhalid_m  were an “asset” for the nation.🇵🇰

#امپورٹڈ_حکومت_نامنظور 

https://t.co/ZG61REwvET",
152,WMurad05041991,RT @zartajgulwazir: This lousy imported puppet regime is so rattled by the massive sustained outpouring of youth that it is considering ban…,
153,tauqeerhassan18,RT @Mfdkhan: @LalBukhari @fawadchaudhry Yes  #مداخلت_ہی_سازش_ہے that’s why #امپورٹڈ_حکومت_نامنظور,"Lahore, Pakistan"
154,geologist_usman,"RT @AbdulWahab__Pak: ""Youth is ill-informed""

Dear DG ISPR! 

This is insult!The youth is very well informed. This isn't 70's, this is 2022…",Islamabad
155,ShafaaqatAli,"RT @MaddyWithKhan: But awaam is not neutral, we are with Imran Khan. Period 

#امپورٹڈ_حکومت_نامنظور","Doha, Qatar"
156,behindYouCapt,"RT @khalid8379005: Two different stories in one picture!
Now who is competent for the foreign ministry?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_…",
157,Ahmad85859420,RT @PTIofficial: Asad Umar (@Asad_Umar ) talking about the HT which is now historic. People are expressing their rejection of the imported…,"Lahore, Pakistan"
158,SyedaBakhtawa15,"RT @khalid8379005: Two different stories in one picture!
Now who is competent for the foreign ministry?
#امپورٹڈ_حکومت_نامنظور 
#سازش_نہیں_…",
159,JamalSh03407285,"RT @AzharMi50953236: ""Youth is ill-informed""

Dear @OfficialDGISPR ! 

This is insult!The youth is very well informed. This is 2022! They'r…",
160,sadia_sabeen,"RT @Habibii_____: @Lalika79 Please you do it and we will gonna share it.
#امپورٹڈ_حکومت_نامنظور",
161,Bano00828691,@ARYSabirShakir Absolutely Yes #امپورٹڈ_حکومت_نامنظور,
162,AzizKha08189228,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,
163,Lahore33163033,RT @DrSadiaA: Jo krna hai kr lo shareefon aur zardariyon! Khan k liye hamaray dil say pyar aur aitemaad ban nhi kr saktay!!! Imran khan is…,
164,RasulMian,RT @fawadchaudhry: #امپورٹڈ_حکومت_نامنظور #Respect ⁦@OfficialDGISPR⁩ and now our demand  is Judicial commission https://t.co/ixHrvdu8zj,Muzafar Garh
165,_Tayhreem_,"It's a revolution they can't stop it,
Khan once said""The people of Pakistan have made their mind""
They can ban Twit… https://t.co/VONjpQVhNr",
